Game,PickType,Date,Num1,Num2,Num3,Num4,Num5,Num6,Powerball lottotexas,frequency,"1,12,19,29,45,46"
lottotexas,frequency,"12,41,45,46,48,49"
lottotexas,frequency,"15,25,38,42,49,54"
lottotexas,frequency,"19,37,42,44,48,54"
lottotexas,frequency,"17,24,27,45,48,52"
lottotexas,frequency,"3,19,29,38,48,53"
lottotexas,frequency,"5,15,25,27,49,53"
lottotexas,frequency,"1,33,37,44,51,53"
lottotexas,frequency,"3,19,24,25,49,51"
lottotexas,frequency,"1,2,13,15,17,19"
lottotexas,frequency,"19,27,33,37,45,51"
